Rank;Name;YearOfBirth;Country;Association;Position;100Match;Rival;Matches(FIFA);Matches(RSSSF);From;To
1;Ahmed Hassan;1975;EGY;3;7;25.01.2004;Simbabwe;184;184;1995;2012;
2;Mohammad ad-Daʿayyaʿ;1972;SAU;2;6;24.06.1998;Südafrika (WM Gruppenspiel);178;176;1990;2006;
3;Claudio Suárez;1968;MEX;1;5;04.02.1998;Trinidad und Tobago;177;177;1992;2006;
4;Hossam Hassan;1966;EGY;3;8;25.03.1996;Korea (Süd) Republik;169;176;1985;2006;
5;Vitālijs Astafjevs;1971;LVA;4;7;31.03.2004;Slowenien;165;167;1992;2010;
5;Iván Hurtado;1974;ECU;6;5;30.04.2003;Spanien;166;167;1992;2010;
7;Adnan at-Talyani;1964;ARE;2;8;13.04.1993;Thailand;161;164;1984;1997;
7;Cobi Jones;1970;USA;1;7;10.02.1998;Brasilien;164;164;1992;2004;
9;Sami al-Dschabir;1972;SAU;2;8;30.09.1999;Südafrika;161;158;1992;2006;
10;Martin Reim;1971;EST;4;7;02.06.2001;Niederlande;156;157;1992;2009;
11;Lothar Matthäus;1961;DEU;4;3;13.06.1993;Vereinigte Staaten von Amerika;150;150;1980;2000;
12;Landon Donovan;1982;USA;1;8;08.06.2008;Argentinien;142;149;2000;2013;
12;Ali Daei;1969;IRN;2;8;05.10.2001;Thailand;148;149;1993;2006;
14;Iker Casillas;1981;ESP;4;6;14.11.2009;Argentinien;143;148;2000;2013;
15;Pável Pardo;1976;MEX;1;7;27.06.2004;Dominikanische Republik;145;146;1996;2009;
16;Javier Zanetti;1973;ARG;6;7;26.06.2005;Mexiko (Confed-Cup Halbfinale);141;145;1994;2011;
17;Salman Isa;1977;BHR;2;7;unbekannt;unbekannt;144;138;2001;2012;
17;Gerardo Torrado;1979;MEX;1;7;12.08.2009;Vereinigte Staaten von Amerika;134;144;1999;2013;
19;Mohammad Al-Khilaiwi;1971;SAU;2;5;27.09.1998;Libanon;138;143;1990;2001;
19;Marko Kristal;1973;EST;4;7;28.03.2001;Zypern;142;143;1992;2005;
19;Thomas Ravelli;1959;SWE;4;6;11.08.1993;Schweiz;143;143;1981;1997;
22;Cafu;1970;BRA;6;5;07.10.2001;Chile;142;142;1990;2006;
22;Lilian Thuram;1972;FRA;4;5;13.06.2004;England (EM-Gruppenspiel);142;142;1994;2008;
24;Anders Svensson;1976;SWE;4;7;09.09.2009;Malta;134;141;1999;2013;
25;Essam El-Hadary;1973;EGY;3;6;05.09.2009;Ruanda;138;139;1996;2013;
25;Madschid Mohammed Abdullah;1959;SAU;2;8;21.06.1988;Neuseeland;126;139;1978;1994;
27;Amado Guevara;1976;HND;1;7;08.09.2007;Costa Rica;137;138;1994;2010;
28;Walter Centeno;1974;CRI;1;7;16.02.2007;El Salvador;135;137;1995;2009;
28;Jari Litmanen;1971;FIN;4;8;25.01.2006;Korea (Süd) Republik;137;137;1989;2010;
28;Rigobert Song;1976;CMR;3;5;21.01.2006;Angola (Afrikacup Gruppenspiel);137;137;1993;2010;
31;Fabio Cannavaro;1973;ITA;4;5;09.07.2006;Frankreich (WM-Finale);136;136;1997;2010;
31;Hong Myung-bo;1969;KOR;2;5;12.06.1999;Mexiko;136;136;1990;2002;
32;Jeff Agoos;1968;USA;1;5;03.06.2000;Südafrika;134;134;1988;2003;
32;Dorinel Munteanu;1968;ROU;4;7;15.08.2001;Slowenien;134;134;1991;2007;
32;Andres Oper;1977;EST;4;7;02.09.2006;Israel;133;134;1995;2013;
36;Bashar Abdullah;1977;KWT;2;8;31.03.2004;Malaysia;133;133;1996;2007;
36;Gianluigi Buffon;1978;ITA;4;6;14.11.2009;Niederlande;126;133;1997;2013;
36;Yasuhito Endō;1980;JPN;2;7;12.10.2010;Korea (Süd) Republik;127;133;2002;2013;
36;Lee Woon-jae;1973;KOR;2;6;18.06.2006;Frankreich (WM Gruppenspiel);131;133;1994;2010;
40;Javad Nekounam;1980;IRN;2;7;05.09.2009;Usbekistan;127;132;2000;2013;
41;Sarkis Howsepjan;1972;ARM;4;5;11.10.2008;Belgien;130;131;1992;2012;
42;Bader al-Mutawa;1985;KWT;2;8;08.01.2011;China;128;130;2003;2013;
42;Jorge Campos;1966;MEX;1;6;09.06.1999;Argentinien;129;130;1991;2003;
42;Kiatisak Senamuang;1973;THA;2;8;01.09.2001;Iran;127;130;1993;2007;
42;Edwin van der Sar;1970;NLD;4;6;08.06.2005;Finnland;130;130;1995;2008;
46;Daniel Bennett;1978;SGP;2;5;07.06.2011;Malediven;128;129;2002;2013;
47;Marcelo Balboa;1967;USA;1;5;25.06.1995;Kolumbien;127;128;1988;2000;
47;Luis Marín;1974;CRI;1;5;14.07.2004;Chile;126;128;1993;2009;
47;Roberto Palacios;1972;PER;6;7;19.11.2003;Ecuador;128;128;1992;2012;
47;Anatolij Tymoschtschuk;1979;UKR;4;7;11.10.2010;Brasilien;127;128;2000;2013;
51;Luís Figo;1972;PRT;4;7;18.02.2004;England;127;127;1991;2006;
51;Ali Karimi;1978;IRN;2;7;11.07.2007;Usbekistan (Asien Cup);127;127;1998;2012;
51;Robbie Keane;1980;IRL;4;8;11.08.2010;Argentinien;122;127;1998;2013;
51;Miroslav Klose;1978;DEU;4;8;03.07.2010;Argentinien (WM-Viertelfinale);126;127;2001;2013;
51;Lee Young-pyo;1977;KOR;2;5;19.11.2008;Saudi Arabien;127;127;1999;2011;
56;Paolo Maldini;1968;ITA;4;5;28.04.1999;Kroatien;126;126;1988;2002;
56;Dennis Rommedahl;1978;DNK;4;8;11.08.2010;Deutschland;125;126;2000;2013;
56;Hussain Said;1958;IRQ;2;8;01.02.1986;Dänemark;-1;126;1977;1990;
56;Andoni Zubizarreta;1961;ESP;4;6;26.04.1995;Armenien;126;126;1985;1998;
56;Xavi;1980;ESP;4;7;25.03.2011;Tschechische Republik;120;126;2000;2013;
61;Shay Given;1976;IRL;4;6;14.10.2009;Montenegro;124;125;1996;2012;
61;Ibrahim Hassan;1966;EGY;3;5;15.06.1999;Korea (Süd) Republik;125;125;1989;2002;
61;Giorgos Karagounis;1977;GRC;4;7;08.10.2010;Lettland;124;125;1999;2013;
61;Hany Ramzy;1969;EGY;3;5;07.02.2000;Tunesien (Afrikacup);125;125;1988;2003;
61;Roberto Carlos da Silva;1973;BRA;6;5;31.03.2004;Paraguay;125;125;1992;2006;
61;Peter Shilton;1949;ENG;4;6;15.06.1988;Niederlande (EM Gruppenspiel);125;125;1970;1990;
67;Gheorghe Hagi;1965;ROU;4;7;18.06.1996;Spanien (EM Gruppenspiel);124;124;1983;2000;
68;Thierry Henry;1977;FRA;4;8;03.06.2008;Kolumbien;123;123;1997;2010;
68;Yoo Sang-chul;1971;KOR;2;7;18.06.2002;Italien(WM-Achtelfinale);120;123;1994;2005;
70;David Carabott;1968;MLT;4;5;25.04.2001;Island;119;122;1987;2005;
70;Masami Ihara;1967;JPN;2;5;28.06.1997;Oman;122;122;1988;1999;
70;Abdullah Zubromawi;1973;SAU;2;5;17.08.2001;Bahrein;122;122;1993;2002;
73;Cha Bum-kun;1953;KOR;2;8;09.10.1977;Kuwait;119;121;1972;1986;
73;Aide Iskandar;1975;SGP;2;5;26.01.2006;Dänemark;121;121;1995;2007;
73;Waleed Jumah;1980;KWT;2;7;06.07.2011;Oman;119;121;2002;2013;
73;Odelin Molina Hernández;1974;CUB;1;6;30.11.2010;Grenada;106;121;1996;2013;
73;Ramón Ramírez;1969;MEX;1;7;17.07.1999;Chile (Copa America - Spiel um Pl. 3);119;121;1991;2000;
73;Peter Schmeichel;1963;DNK;4;6;10.02.1999;Kroatien;121;121;1988;2001;
79;Subait Aljunaibi;1980;ARE;2;1;03.03.2010;Usbekistan;120;120;1999;2011;
79;Ian Goodison;1972;JAM;1;5;12.06.2004;Haiti;118;120;1996;2009;
79;Yunis Mahmud;1983;IRQ;2;8;unbekannt;unbekannt;113;120;2002;2013;
79;Mart Poom;1972;EST;4;6;08.09.2004;Portugal;120;120;1992;2009;
79;Rüştü Reçber;1973;TUR;4;6;26.03.2005;Albanien;120;120;1994;2012;
79;Theodoros Zagorakis;1971;GRC;4;7;17.11.2004;Kasachstan;119;120;1994;2007;
85;Gilbert Agius;1974;MLT;4;8;02.06.2007;Norwegen;119;119;1993;2009;
85;Cuauhtémoc Blanco;1973;MEX;1;8;10.06.2009;Trinidad und Tobago;118;119;1995;2010;
85;Pat Jennings;1945;NIR;4;6;21.09.1983;Österreich;119;119;1964;1986;
88;Heinz Hermann;1958;CHE;4;7;03.04.1990;Rumänien;118;117;1978;1991;
88;Geremi Njitap;1978;CMR;3;7;11.02.2009;Guinea;118;118;1996;2010;
88;Saud Kariri;1980;SAU;2;7;unbekannt;unbekannt;-1;118;2001;2013;
88;Karel Poborský;1972;CZE;4;7;18.08.2004;Griechenland;118;118;1994;2006;
92;Mohammad asch-Schalhub;1980;SAU;2;7;unbekannt;unbekannt;-1;117;2000;2012;
92;Juan Arango;1980;VEN;6;7;23.07.2011;Peru;112;117;1999;2013;
92;Angus Eve;1973;TTO;1;8;12.12.2004;Britische Jungferninseln;113;117;1994;2005;
92;Olof Mellberg;1977;SWE;4;5;03.03.2010;Wales;117;117;2000;2012;
92;Andrejs Rubins;1978;LVA;4;7;01.04.2009;Luxemburg;115;117;1999;2011;
97;Abdul Rahem Jumaa Anber Al-Jubaibi;1979;ARE;2;7;16.07.2007;Katar;115;116;1998;2009;
97;Marcel Desailly;1968;FRA;4;7;12.02.2002;Slowenien;116;116;1993;2004;
97;Yoshikatsu Kawaguchi;1975;JPN;2;6;05.06.2007;Kolumbien;116;116;1997;2008;
97;Ahmed Jamil Madani;1970;SAU;2;5;unbekannt;unbekannt;-1;116;1986;1998;
97;Roland Nilsson;1963;SWE;4;5;10.02.1999;Tunesien;116;116;1986;2000;
97;Carlos Salcido;1980;MEX;1;5;31.05.2012;Bosnien und Herzegowina;108;116;2004;2013;
103;Roberto Ayala;1973;ARG;6;5;30.05.2006;Angola;115;115;1994;2007;
103;David Beckham;1975;ENG;4;7;26.03.2008;Frankreich;115;115;1996;2009;
103;Stern John;1976;TTO;1;8;11.10.2006;Panama;108;115;1995;2011;
103;Noureddine Naybet;1970;MAR;3;5;04.02.2004;Südafrika (Afrikacup);115;115;1990;2006;
103;Gheorghe Popescu;1967;ROU;4;5;17.06.2000;Portugal (EM-Gruppenspiel);115;115;1988;2003;
103;José Manuel Rey;1975;VEN;6;5;09.09.2008;Paraguay;109;115;1997;2011;
103;Shunmugham Subramani;1972;SGP;2;5;06.02.2006;Oman;115;115;1996;2007;
103;Kristen Viikmäe;1979;EST;4;8;30.05.2006;Neuseeland;113;115;1997;2013;
103;Didier Zokora;1982;CIV;3;7;unbekannt;unbekannt;112;115;2000;2013;
112;Björn Nordqvist;1942;SWE;4;5;15.06.1977;Dänemark;114;114;1963;1978;
113;Nasch'at Akram;1984;IRQ;2;7;unbekannt;unbekannt;109;113;2001;2013;
113;Yassir al-Qahtani;1982;SAU;2;1;unbekannt;unbekannt;113;112;2002;2013;
113;Carmel Busuttil;1964;MLT;4;7;10.02.2000;Albanien;110;113;1982;2001;
113;Rolando Fonseca;1974;CRI;1;8;16.02.2007;El Salvador;111;113;1992;2011;
113;Wael Gomaa;1975;EGY;3;5;26.03.2011;Südafrika;103;113;2001;2013;
113;Yenier Márquez;1979;CUB;1;5;05.12.2010;Grenada;-1;113;2000;2013;
113;Wiktor Saweljewitsch Onopko;1969;RUS;4;5;14.06.2002;Belgien (WM-Gruppenspiel);113;113;1992;2004;
113;Theodore Whitmore;1972;JAM;1;7;13.07.2003;Kolumbien;110;113;1993;2004;
121;Zuhair Bakheet;1967;ARE;2;8;18.10.1997;Kasachstan;112;112;1988;2002;
121;Frank de Boer;1970;NLD;4;5;29.03.2003;Tschechische Republik;112;112;1990;2004;
121;Samuel Eto’o;1981;CMR;3;8;04.09.2010;Mauritius;112;112;1996;2013;
121;Alain Geiger;1960;CHE;4;5;12.10.1994;Schweden;112;112;1980;1996;
121;Abdul Salam Al-Jubaibi Jumaa;1977;ARE;2;5;17.11.2004;Nordkorea;111;112;1997;2010;
121;Abdel Zaher El-Saqua;1974;EGY;3;5;24.01.2006;Marokko (Afrikacup);112;112;1997;2010;
121;Shahril Ishak;1984;SGP;2;7;11.09.2012;Myanmar;110;112;2003;2013;
121;Li Weifeng;1978;CHN;2;5;15.03.2008;Thailand;112;112;1998;2011;
121;Hawar Mulla Mohammed;1981;IRQ;2;7;unbekannt;unbekannt;108;112;2001;2012;
121;Claudio Reyna;1973;USA;1;7;02.06.2004;Honduras;111;112;1994;2006;
121;Hakan Şükür;1971;TUR;4;8;07.09.2005;Ukraine;112;112;1992;2007;
121;Jon Dahl Tomasson;1976;DNK;4;8;20.08.2008;Spanien;112;112;1997;2010;
121;Noel Valladares;1977;HND;1;6;unbekannt;unbekannt;108;112;2000;2013;
121;Dino Zoff;1942;ITA;4;6;14.06.1982;Polen (WM-Gruppenspiel);112;112;1968;1983;
135;Rafael Márquez;1979;MEX;1;5;29.03.2011;Venezuela;111;111;1997;2012;
135;Raio Piiroja;1979;EST;4;5;25.03.2011;Uruguay;110;111;1998;2013;
135;Andrij Schewtschenko;1976;UKR;4;8;08.10.2010;Kanada;111;111;1995;2012;
135;Paulo da Silva;1980;PRY;6;5;29.02.2012;Panama;110;111;2000;2013;
135;Carlos Valderrama;1961;COL;6;7;06.08.1997;Jamaika;111;111;1985;1998;
140;Carlos Bocanegra;1979;USA;1;5;15.11.2011;Slowenien;108;110;2001;2012;
140;Paul Caligiuri;1964;USA;1;7;16.08.1995;Schweden;110;110;1984;1997;
140;Fernando Couto;1969;PRT;4;5;11.10.2003;Albanien;110;110;1990;2004;
140;Indra Sahdan Bin Daud;1979;SGP;2;8;07.12.2008;Myanmar;108;110;1997;2013;
140;Nader El-Sayed;1972;EGY;3;6;08.01.2004;Ruanda;106;110;1992;2005;
140;Carlos Gamarra;1971;PRY;6;5;05.06.2005;Brasilien;110;110;1993;2006;
140;Kevin Kilbane;1977;IRL;4;7;14.10.2009;Montenegro;110;110;1997;2011;
140;Mehdi Mahdavikia;1977;IRN;2;7;15.07.2007;China (Asien Cup);110;110;1996;2009;
140;Yūji Nakazawa;1978;JPN;2;5;14.02.2010;Korea (Süd) Republik;110;110;1999;2010;
140;Lukas Podolski;1985;DEU;4;2;17.06.2012;Dänemark (EM-Gruppenspiel);108;110;2004;2013;
140;John Arne Riise;1980;NOR;4;9;12.11.2011;Wales;110;110;2000;2013;
140;Mauricio Solís;1972;CRI;1;7;08.06.2005;Guatemala;109;110;1993;2006;
152;Álex Aguinaga;1969;ECU;6;7;20.11.2002;Costa Rica;107;109;1987;2004;
152;Wail Al-Habashi;1964;KWT;2;7;unbekannt;unbekannt;-1;109;1986;1997;
152;Nohayer Al-Shammari;1976;KWT;2;5;02.01.2008;Libanon;108;109;1996;2009;
152;Niclas Alexandersson;1971;SWE;4;7;06.06.2007;Island;109;109;1993;2008;
152;Alberto García Aspe;1967;MEX;1;8;07.10.2001;Costa Rica;108;109;1988;2002;
152;Mario Frick;1974;LIE;4;8;10.08.2011;Schweiz;107;109;1993;2013;
158;Thomas Helveg;1971;DNK;4;5;31.05.2006;Frankreich;108;108;1994;2007;
158;Jürgen Klinsmann;1964;DEU;4;8;10.09.1997;Armenien;108;108;1987;1998;
158;Juris Laizāns;1979;LVA;4;7;14.10.2009;Moldawien;108;108;1998;2010;
158;Ismail Matar;1983;ARE;2;8;unbekannt;unbekannt;108;108;2003;2013;
158;Bobby Moore;1941;ENG;4;5;14.02.1973;Schottland;107;108;1962;1973;
158;Jamal Mubarak;1974;KWT;2;5;19.11.2003;Portugal;107;108;1994;2004;
158;Sergio Ramos;1986;ESP;4;5;22.03.2013;Finnland;101;108;2005;2013;
158;Mark Schwarzer;1972;AUS;5;6;06.09.2012;Libanon;105;108;1993;2013;
158;Hussein Suleimani;1977;SAU;2;5;11.10.2006;Jemen;108;108;1996;2009;
158;Zinédine Zidane;1972;FRA;4;7;27.05.2006;Mexiko;108;108;1994;2006;
